# InputPklFile=PSL_mass00z05.dat, redshift z=0.5, OmegaM=0.317501, h = 0.6711, f0=0.762924, 	b1=1.7167, b2=-0.3546, bs2=-0.409543, b3nl=0.0728076, alpha0=-6.6232, alpha2=-16.3094, alpha4=-20.6674, c~=-0, 	PshotP=4809.5, alpha0shot=0.0805, alpha4shot=-4.3887
#  1.s[Mpc/h]      2.monopole    3.quadrupole 4.hexadecapole
1.000000e-03 9.368882e+03 4.742960e+03 3.034798e+02
1.053611e-03 9.815343e+03 4.978697e+03 3.185576e+02
1.110097e-03 1.028189e+04 5.225035e+03 3.343126e+02
1.169611e-03 1.077028e+04 5.482900e+03 3.508037e+02
1.232315e-03 1.128069e+04 5.752382e+03 3.680364e+02
1.298381e-03 1.181411e+04 6.034009e+03 3.860443e+02
1.367989e-03 1.237138e+04 6.328221e+03 4.048551e+02
1.441328e-03 1.295379e+04 6.635692e+03 4.245116e+02
1.518600e-03 1.356123e+04 6.956368e+03 4.450099e+02
1.600014e-03 1.419474e+04 7.290794e+03 4.663843e+02
1.685793e-03 1.485530e+04 7.639484e+03 4.886672e+02
1.776170e-03 1.554373e+04 8.002864e+03 5.118852e+02
1.871393e-03 1.626053e+04 8.381201e+03 5.360544e+02
1.971721e-03 1.700603e+04 8.774659e+03 5.611846e+02
2.077428e-03 1.778152e+04 9.183918e+03 5.873182e+02
2.188801e-03 1.858699e+04 9.608966e+03 6.144532e+02
2.306146e-03 1.942293e+04 1.005005e+04 6.426041e+02
2.429781e-03 2.028950e+04 1.050725e+04 6.717747e+02
2.560045e-03 2.118798e+04 1.098124e+04 7.020058e+02
2.697292e-03 2.211794e+04 1.147177e+04 7.332794e+02
2.841897e-03 2.307937e+04 1.197884e+04 7.655933e+02
2.994255e-03 2.407240e+04 1.250248e+04 7.989472e+02
3.154781e-03 2.509661e+04 1.304248e+04 8.333238e+02
3.323913e-03 2.615234e+04 1.359898e+04 8.687291e+02
3.502112e-03 2.723759e+04 1.417091e+04 9.050913e+02
3.689865e-03 2.835274e+04 1.475846e+04 9.424167e+02
3.887684e-03 2.949696e+04 1.536115e+04 9.806707e+02
4.096107e-03 3.066840e+04 1.597798e+04 1.019783e+03
4.315705e-03 3.186582e+04 1.660827e+04 1.059705e+03
4.547076e-03 3.308770e+04 1.725117e+04 1.100373e+03
4.790850e-03 3.433169e+04 1.790541e+04 1.141699e+03
5.047694e-03 3.559552e+04 1.856973e+04 1.183595e+03
5.318308e-03 3.687681e+04 1.924284e+04 1.225966e+03
5.603429e-03 3.817183e+04 1.992269e+04 1.268672e+03
5.903836e-03 3.947759e+04 2.060766e+04 1.311595e+03
6.220348e-03 4.078977e+04 2.129540e+04 1.354574e+03
6.553829e-03 4.210575e+04 2.198443e+04 1.397498e+03
6.905189e-03 4.341558e+04 2.266944e+04 1.440013e+03
7.275385e-03 4.472335e+04 2.335247e+04 1.482230e+03
7.665428e-03 4.601248e+04 2.402470e+04 1.523570e+03
8.076381e-03 4.728296e+04 2.468600e+04 1.564004e+03
8.509366e-03 4.852888e+04 2.533314e+04 1.603303e+03
8.965565e-03 4.973867e+04 2.595991e+04 1.641050e+03
9.446220e-03 5.090694e+04 2.656333e+04 1.677033e+03
9.952644e-03 5.202516e+04 2.713877e+04 1.710932e+03
1.048622e-02 5.308292e+04 2.768063e+04 1.742369e+03
1.104840e-02 5.406983e+04 2.818329e+04 1.770964e+03
1.164072e-02 5.497999e+04 2.864350e+04 1.796485e+03
